"","X","Site","Study","Age","Method","Trees","Vol","MU","VU","SSU","ML","VL","SSL","VarT","ID","Region","N_Logged","Plot_size","Minmum.DBH.cut","Lianas.cut","Illegal.Legal","Tree_corr","Region2","Pred","Vol2","SDU","SDL","yi","vi"
"14",14,"Medjibe et al 2013b","Medjibe et al 2013",0,"Conventional",0.76,11.38,387.3,81.01,12,335.4018,NA,12,"SE",11,"Africa",1,1,NA,NA,"Legal",-1.41937817071987,"Africa/Asia",10.0211180814533,11.38,280.62687184231,280.62687184231,-0.143870370419702,0.102087746086577
"15",15,"Medjibe et al 2013b","Medjibe et al 2013",0,"Conventional",0.76,11.38,387.3,81.01,12,335.4018,NA,12,"SE",11,"Africa",1,1,NA,NA,"Legal",-1.41937817071987,"Africa/Asia",10.0211180814533,11.38,280.62687184231,280.62687184231,-0.143870370419702,0.102087746086577
"16",16,"Pfeifer et al 2013a","Pfeifer et al 2014",10,"Conventional",NA,179,565.1041496,328.677753,9,127.1630665,75.41151032,16,"SD",12,"Asia",2,0.0625,NA,NA,"Legal",NA,"Africa/Asia",NA,179,328.677753,328.677753,-1.49153979869429,0.455127841509482
"17",17,"Pfeifer et al 2013b","Pfeifer et al 2014",10,"Conventional",NA,150,565.1041496,328.677753,9,92.93852309,44.10157135,9,"SD",12,"Asia",2,0.0625,NA,NA,"Legal",NA,"Africa/Asia",NA,150,328.677753,328.677753,-1.80507181720833,1.4272409590618
"18",18,"Pfeifer et al 2013c","Pfeifer et al 2014",10,"Conventional",NA,150,565.1041496,328.677753,9,168.5752185,44.28430042,9,"SD",12,"Asia",2,0.0625,NA,NA,"Legal",NA,"Africa/Asia",NA,150,328.677753,328.677753,-1.20962799895516,0.459974399279325
"19",19,"Pfeifer et al 2013d","Pfeifer et al 2014",10,"Conventional",NA,150,565.1041496,328.677753,9,168.5980573,116.5109326,8,"SD",12,"Asia",2,0.0625,NA,NA,"Legal",NA,"Africa/Asia",NA,150,328.677753,328.677753,-1.20949252677113,0.512644055448123
"20",20,"Pfeifer et al 2013e","Pfeifer et al 2014",10,"Conventional",NA,179,565.1041496,328.677753,9,87.22143687,63.51575997,16,"SD",12,"Asia",2,0.0625,NA,NA,"Legal",NA,"Africa/Asia",NA,179,328.677753,328.677753,-1.86855991336651,0.925099152205569
"21",21,"Pfeifer et al 2013f","Pfeifer et al 2014",10,"Conventional",NA,150,565.1041496,328.677753,9,181.832157,47.29814627,9,"SD",12,"Asia",2,0.0625,NA,NA,"Legal",NA,"Africa/Asia",NA,150,328.677753,328.677753,-1.13392600244408,0.400629179073626
"22",22,"Pfeifer et al 2013g","Pfeifer et al 2014",10,"Conventional",NA,179,565.1041496,328.677753,9,51.29253423,49.33324672,16,"SD",12,"Asia",2,0.0625,NA,NA,"Legal",NA,"Africa/Asia",NA,179,328.677753,328.677753,-2.39946483972692,2.60391624197023
"23",23,"Pfeifer et al 2013h","Pfeifer et al 2014",10,"Conventional",NA,179,565.1041496,328.677753,9,67.34782612,69.93300898,16,"SD",12,"Asia",2,0.0625,NA,NA,"Legal",NA,"Africa/Asia",NA,179,328.677753,328.677753,-2.12713942475559,1.52617172822057
"24",24,"Pfeifer et al 2013i","Pfeifer et al 2014",10,"Conventional",NA,179,565.1041496,328.677753,9,58.76602617,46.16436693,16,"SD",12,"Asia",2,0.0625,NA,NA,"Legal",NA,"Africa/Asia",NA,179,328.677753,328.677753,-2.26344614803664,1.99268285006459
"25",25,"Pfeifer et al 2013j","Pfeifer et al 2014",10,"Conventional",NA,179,565.1041496,328.677753,9,68.78087386,65.25066726,16,"SD",12,"Asia",2,0.0625,NA,NA,"Legal",NA,"Africa/Asia",NA,179,328.677753,328.677753,-2.10608433966369,1.46478868030187
"26",26,"Pinard et al 1996a","Pinard et al 1996",0,"Conventional",NA,154.482125,333.47,40.73364703,4,135.8,20.75198304,4,"SD",13,"Asia",1,0.16,NA,NA,"Legal",NA,"Africa/Asia",NA,154.482125,40.73364703,40.73364703,-0.898369691162398,0.0262231913785392
"27",27,"Pinard et al 1996b","Pinard et al 1996",0,"RIL",NA,103.5835,327.54,54.0371067,4,211.78,18.6400617,4,"SD",14,"Asia",1,0.16,60,"Yes","Legal",NA,"Africa/Asia",NA,103.5835,54.0371067,54.0371067,-0.436062185019413,0.0230807365612997
"28",28,"Rockwell et al 2014","Rockwell et al 2014",1,"Conventional",2,10,113.9,29.4,5,105.3,32.3,5,"SD",15,"Americas",1,0.5,45,NA,NA,-1.07487917646567,"Americas",11.7426614153824,10,29.4,29.4,-0.0785074513132067,0.0289160890778947
"29",29,"Saner et al 2012","Saner et al 2012",0,"Conventional",NA,117.38,256,26.8,4,183.8,5.8,4,"SE",16,"Asia",1,0.25,60,NA,NA,NA,"Africa/Asia",NA,117.38,53.6,53.6,-0.331329234557976,0.0322202223238288
"32",32,"Tangki et al 2008","Tangki et al 2008",11,"Conventional",NA,101.2,427.495,109.3250955,10,218.31,185.9464001,45,"SD",19,"Asia",1,0.1,60,NA,"Legal",NA,"Africa/Asia",NA,101.2,109.3250955,109.3250955,-0.67202652137488,0.0121128819596367
